source_family,sigma_id,entry_type,meta_layer,domain,sub_domain,name_full,name_short,standard_id,issuer,issuer_type,governance_layer,geographic_scope,year_published,year_first,status,mandate,sector_applicability,why_it_matters,key_outputs,official_url,data_source,notes
GRI,SE-GRI-1-2021,Standard,Economy & Trade,"Sustainability, ESG & Circular Economy",Sustainability reporting,GRI 1: Foundation 2021,GRI 1:2021,GRI 1:2021,Global Reporting Initiative,NGO,International,Global,2021,2021,Active,Voluntary,Organizations using the GRI Standards,Introduces the purpose and system of the GRI Standards and sets foundation requirements for sustainability reporting,Foundation standard for using GRI Standards,https://www.globalreporting.org/standards/gri-standards-download-center/,GRI official Standards download center,Curated Phase 4 sustainability reporting priority record
GRI,SE-GRI-2-2021,Standard,Economy & Trade,"Sustainability, ESG & Circular Economy",Sustainability reporting,GRI 2: General Disclosures 2021,GRI 2:2021,GRI 2:2021,Global Reporting Initiative,NGO,International,Global,2021,2021,Active,Voluntary,Organizations using the GRI Standards,Defines general disclosures about governance strategy ethics practices and stakeholder engagement,General disclosure standard,https://www.globalreporting.org/standards/gri-standards-download-center/,GRI official Standards download center,Curated Phase 4 sustainability reporting priority record
GRI,SE-GRI-3-2021,Standard,Economy & Trade,"Sustainability, ESG & Circular Economy",Materiality and reporting topics,GRI 3: Material Topics 2021,GRI 3:2021,GRI 3:2021,Global Reporting Initiative,NGO,International,Global,2021,2021,Active,Voluntary,Organizations using the GRI Standards,Defines the process for identifying reporting and managing material sustainability topics,Material topics standard,https://www.globalreporting.org/standards/gri-standards-download-center/gri-standards/,GRI official Standards resource center,Curated Phase 4 sustainability reporting priority record
GRI,SE-GRI-101-2024,Standard,Economy & Trade,"Sustainability, ESG & Circular Economy",Biodiversity reporting,GRI 101: Biodiversity 2024,GRI 101:2024,GRI 101:2024,Global Reporting Initiative,NGO,International,Global,2024,2024,Active,Voluntary,Organizations with biodiversity impacts and dependencies,Provides topic disclosures for biodiversity impacts dependencies and management approaches,Biodiversity topic standard,https://www.globalreporting.org/standards/gri-standards-download-center/,GRI official Standards download center,GRI notes the revised biodiversity standard came into effect for reporting in 2026
GRI,SE-GRI-102-2025,Standard,Economy & Trade,"Sustainability, ESG & Circular Economy",Climate reporting,GRI 102: Climate Change 2025,GRI 102:2025,GRI 102:2025,Global Reporting Initiative,NGO,International,Global,2025,2025,Active,Voluntary,Organizations reporting climate-related impacts,Provides topic disclosures for climate change impacts transition plans mitigation and adaptation,Climate change topic standard,https://www.globalreporting.org/standards/gri-standards-download-center/,GRI official Standards download center,GRI notes revised Climate Change and Energy standards published in 2025 and effective from 2027
SASB,SE-SASB-EM-EP-2023,Standard,Economy & Trade,"Sustainability, ESG & Circular Economy",Industry-based sustainability disclosure,SASB Oil & Gas - Exploration & Production Standard,SASB EM-EP,SASB EM-EP,IFRS Foundation / ISSB,NGO,International,Global,2023,2018,Active,Voluntary,Oil and gas exploration and production companies,Identifies industry-based disclosure topics and metrics for sustainability-related risks and opportunities in oil and gas exploration and production,Industry-based SASB disclosure standard,https://sasb.ifrs.org/standards/,SASB Standards official portal,IFRS Foundation assumed responsibility for SASB Standards in 2022
SASB,SE-SASB-FN-CB-2023,Standard,Economy & Trade,"Sustainability, ESG & Circular Economy",Industry-based sustainability disclosure,SASB Commercial Banks Standard,SASB FN-CB,SASB FN-CB,IFRS Foundation / ISSB,NGO,International,Global,2023,2018,Active,Voluntary,Commercial banks and financial institutions,Identifies sustainability disclosure topics and metrics for commercial banking including financed emissions data security and financial inclusion,Industry-based SASB disclosure standard,https://sasb.ifrs.org/standards/,SASB Standards official portal,Representative high-impact financial sector SASB standard
SASB,SE-SASB-TC-SI-2023,Standard,Economy & Trade,"Sustainability, ESG & Circular Economy",Industry-based sustainability disclosure,SASB Software & IT Services Standard,SASB TC-SI,SASB TC-SI,IFRS Foundation / ISSB,NGO,International,Global,2023,2018,Active,Voluntary,Software and IT services companies,Identifies sustainability disclosure topics and metrics for software and IT services including data privacy security and workforce issues,Industry-based SASB disclosure standard,https://sasb.ifrs.org/standards/,SASB Standards official portal,Representative technology-sector SASB standard
SASB,SE-SASB-HC-DY-2023,Standard,Economy & Trade,"Sustainability, ESG & Circular Economy",Industry-based sustainability disclosure,SASB Health Care Delivery Standard,SASB HC-DY,SASB HC-DY,IFRS Foundation / ISSB,NGO,International,Global,2023,2018,Active,Voluntary,Health care delivery organizations,Identifies sustainability disclosure topics and metrics for health care delivery including patient safety data security and access to care,Industry-based SASB disclosure standard,https://sasb.ifrs.org/standards/,SASB Standards official portal,Representative health-sector SASB standard
SASB,SE-SASB-FB-AG-2023,Standard,Economy & Trade,"Sustainability, ESG & Circular Economy",Industry-based sustainability disclosure,SASB Agricultural Products Standard,SASB FB-AG,SASB FB-AG,IFRS Foundation / ISSB,NGO,International,Global,2023,2018,Active,Voluntary,Agricultural product companies,Identifies sustainability disclosure topics and metrics for agricultural products including water management food safety and supply chain impacts,Industry-based SASB disclosure standard,https://sasb.ifrs.org/standards/,SASB Standards official portal,Representative food and agriculture SASB standard
