agent_id,domain_group,mode,make_target,schedule_hint,output_paths,requires_secrets,optional_secrets,free_api_notes,retry_limit,fallback_agent_id,human_review_required,writes_directly_to_main
health,Health and humanitarian,deterministic,health-priority,weekly,"data/processed/health_priority_standards.csv;data/reports/*.csv",false,"NCBI_API_KEY;OPENALEX_MAILTO;CROSSREF_MAILTO","Runs current curated health priority processor; optional public metadata APIs should stay rate-limited.",2,humanitarian,true,false
humanitarian,Humanitarian and relief,deterministic,humanitarian-priority,weekly,"data/processed/humanitarian_priority_standards.csv;data/reports/*.csv",false,"OPENALEX_MAILTO;CROSSREF_MAILTO","Runs Sphere and humanitarian source refresh without paid APIs.",2,health,true,false
food,Food safety and agriculture,deterministic,codex,weekly,"data/processed/codex_standards.csv;data/reports/*.csv",false,"OPENALEX_MAILTO;CROSSREF_MAILTO","Runs Codex priority processor with free public sources.",2,health,true,false
ict,ICT and web standards,deterministic,w3c-priority,weekly,"data/processed/w3c_standards.csv;data/reports/*.csv",false,"HF_TOKEN;APIFY_TOKEN","Runs W3C slice first; ITU, ETSI, and open ICT stay separate Makefile targets until merged orchestration is needed.",2,open-ict,true,false
telecom,Telecommunications,deterministic,itu-priority,weekly,"data/processed/itu_recommendations.csv;data/reports/*.csv",false,"APIFY_TOKEN","Runs ITU priority processor using committed references.",2,ict,true,false
open-ict,Open ICT consortia,deterministic,open-ict-priority,weekly,"data/processed/open_ict_standards.csv;data/reports/*.csv",false,"HF_TOKEN;APIFY_TOKEN","Runs OASIS, Ecma, and GS1 open ICT records.",2,ict,true,false
sustainability,Sustainability reporting,deterministic,sustainability-reporting,weekly,"data/processed/sustainability_reporting_standards.csv;data/reports/*.csv",false,"OPENALEX_MAILTO;CROSSREF_MAILTO","Runs GRI and SASB sustainability reporting processor.",2,food,true,false
safety,Safety security and nuclear,deterministic,nist-priority,weekly,"data/processed/nist_priority_standards.csv;data/reports/*.csv",false,"NVD_API_KEY;OPENALEX_MAILTO","Runs NIST cybersecurity and AI records; NVD key is optional for future free higher rate limits.",2,iec,true,false
iec,Electrotechnical safety,deterministic,iec-priority,weekly,"data/processed/iec_standards.csv;data/reports/*.csv",false,"OPENALEX_MAILTO;CROSSREF_MAILTO","Runs IEC electrotechnical records.",2,safety,true,false
culture,Culture and heritage,deterministic,culture-priority,weekly,"data/processed/culture_heritage_standards.csv;data/reports/*.csv",false,"OPENALEX_MAILTO;CROSSREF_MAILTO","Runs UNESCO, ICOMOS, ICOM, and ICCROM records.",2,sports,true,false
sports,Sports and recreation,deterministic,sports-priority,weekly,"data/processed/sports_recreation_standards.csv;data/reports/*.csv",false,"OPENALEX_MAILTO;CROSSREF_MAILTO","Runs WADA, IOC, IFAB, World Athletics, CAS, FIBA, and ITF records.",2,culture,true,false
national-bodies,National standards bodies,deterministic,national-standards-bodies,weekly,"data/processed/national_standards_bodies.csv;data/reports/*.csv",false,"APIFY_TOKEN;OPENALEX_MAILTO","Runs national standards body registry refresh.",2,ict,true,false
release,Release and site build,deterministic,release,on-demand,"dist/api_index.json;dist/domain_coverage.csv;data/reports/*.csv",false,"HF_TOKEN","Builds release artifacts after domain workers pass; generated dist stays an artifact unless intentionally released.",1,validate,true,false
validate,Validation and quality gate,deterministic,validate,on-demand,"data/reports/*.csv;docs/QUALITY_GATE.md;docs/RESEARCH_TASKS.md;docs/RELATIONSHIP_QUALITY.md",false,"","Runs full validation and quality reports through the Makefile.",1,,true,false
