task_id,phase,phase_name,domain_id,domain_name,meta_layer,task_type,source_targets,deliverable,status,priority
P0-INFRA,0,Project setup and infrastructure,,,Program,setup,"GitHub repo; Pages; governance docs; issue templates; workflows","Infrastructure baseline",done,critical
P1-ISO,1,Seed from free bulk sources,,,Program,ingestion,"ISO Open Data deliverables; ICS; technical committees","Processed ISO metadata",done,critical
P1-WIKIDATA,1,Seed from free bulk sources,,,Program,ingestion,"Wikidata standards bodies SPARQL","Standards bodies reference dataset",done,high
P1-IETF,1,Seed from free bulk sources,28,Information & Communications Technology (ICT),Technology & Infrastructure,ingestion,"RFC Editor index.json","Processed IETF RFC metadata",done,critical
P1-ILO,1,Seed from free bulk sources,16,Labour & Employment,"Society, Governance & Law",ingestion,"ILO conventions and recommendations","Processed ILO standards metadata",done,critical
P1-SHEET,1,Seed from free bulk sources,,,Program,synchronization,"000_SIGMA_MASTER_DATABASE Google Sheet","Processed Google Sheet sync file",active,high
P1-README-SAMPLES,1,Seed from free bulk sources,,,Program,publication,"README badges; sample records; non-technical contribution path","Repository discovery and contributor-readiness improvements",active,high
P2A-HEALTH,2,Human rights humanitarian and development priority domains,1,Health & Medical,Life Sciences & Health,ingestion,"WHO classifications; WHO guidelines; WHO emergency frameworks","Processed Phase 2A health priority standards",active,critical
P2A-HUM-WASH,2,Human rights humanitarian and development priority domains,17,Humanitarian & Emergency Response,"Society, Governance & Law",ingestion,"Sphere Handbook WASH minimum standards","Processed humanitarian WASH priority standards",active,high
P2A-WASH,2,Human rights humanitarian and development priority domains,33,"Water, Sanitation & Hygiene (WASH)",Technology & Infrastructure,ingestion,"WHO WASH publications; sanitation safety planning; community hand hygiene","Processed WASH priority standards",active,critical
P2B-CODEX,2,Human rights humanitarian and development priority domains,2,Food Safety & Agriculture,Life Sciences & Health,ingestion,"Codex Alimentarius standards list; Codex standards and guidelines","Processed Phase 2B Codex priority standards",active,critical
P2C-HUMANITARIAN,2,Human rights humanitarian and development priority domains,17,Humanitarian & Emergency Response,"Society, Governance & Law",ingestion,"CHS; INEE; IASC; UNHCR; WHO Emergency Medical Teams","Processed Phase 2C humanitarian standards",active,critical
P2D-WHO-IRIS,2,Human rights humanitarian and development priority domains,1,Health & Medical,Life Sciences & Health,staging,"WHO IRIS OAI-PMH Dublin Core metadata","Filtered WHO IRIS normative candidate metadata",active,high
