sigma_id,entry_type,meta_layer,domain,sub_domain,name_full,name_short,standard_id,issuer,issuer_type,governance_layer,geographic_scope,year_published,year_first,status,mandate,sector_applicability,why_it_matters,key_outputs,official_url,data_source,notes
ICT-ECMA-262,Standard,Technology & Infrastructure,Information & Communications Technology (ICT),Programming languages,ECMAScript 2025 Language Specification,ECMA-262,ECMA-262,Ecma International,Industry SDO,International,Global,2025,1997,Active,Voluntary,JavaScript engines web browsers server runtimes tooling vendors and language conformance suites,Defines the ECMAScript language used by JavaScript implementations across web and server platforms,ECMAScript language specification,https://ecma-international.org/publications-and-standards/standards/ecma-262/,Ecma official standards page,Ecma publishes ECMA-262 as the ECMAScript language specification
ICT-ECMA-404,Standard,Technology & Infrastructure,Information & Communications Technology (ICT),Data interchange,The JSON Data Interchange Syntax,ECMA-404,ECMA-404,Ecma International,Industry SDO,International,Global,2017,2013,Active,Voluntary,APIs databases configuration formats messaging systems and web platforms,Defines the syntax of JSON used for interoperable structured data interchange,JSON data interchange syntax,https://ecma-international.org/publications-and-standards/standards/ecma-404/,Ecma official standards page,Ecma publishes ECMA-404 as the JSON data interchange syntax
ICT-OASIS-MQTT50,Standard,Technology & Infrastructure,Information & Communications Technology (ICT),IoT messaging,MQTT Version 5.0,MQTT 5.0,OASIS MQTT Version 5.0,OASIS Open,Industry SDO,International,Global,2019,2013,Active,Voluntary-with-regulatory-adoption,IoT platforms message brokers telemetry systems and constrained-device networks,Defines lightweight publish subscribe messaging widely used for IoT telemetry and event-driven integration,MQTT protocol specification,https://docs.oasis-open.org/mqtt/mqtt/v5.0/mqtt-v5.0.html,OASIS official standard page,OASIS publishes MQTT Version 5.0 as an OASIS Standard
ICT-OASIS-ODF12,Standard,Technology & Infrastructure,Information & Communications Technology (ICT),Document formats,Open Document Format for Office Applications Version 1.2,ODF 1.2,OASIS OpenDocument Version 1.2,OASIS Open,Industry SDO,International,Global,2011,2005,Active,Voluntary-with-regulatory-adoption,Office suites document archives public-sector document exchange and preservation programs,Defines an open XML-based office document format used for text spreadsheets charts and presentations,OpenDocument office file format,https://docs.oasis-open.org/office/v1.2/os/OpenDocument-v1.2-os.html,OASIS official standard page,OASIS publishes OpenDocument Version 1.2 as an OASIS Standard
ICT-OASIS-SAML20,Standard,Technology & Infrastructure,Information & Communications Technology (ICT),Identity federation,Security Assertion Markup Language Version 2.0,SAML 2.0,OASIS SAML Version 2.0,OASIS Open,Industry SDO,International,Global,2005,2005,Active,Voluntary-with-regulatory-adoption,Identity providers service providers enterprise single sign-on platforms and federated access systems,Defines XML-based assertions protocols and bindings for federated identity and single sign-on,SAML identity federation specification,https://docs.oasis-open.org/security/saml/v2.0/,OASIS official standard page,OASIS publishes the SAML 2.0 specification set
ICT-OASIS-STIX21,Standard,Technology & Infrastructure,Information & Communications Technology (ICT),Cyber threat intelligence,STIX Version 2.1,STIX 2.1,OASIS STIX Version 2.1,OASIS Open,Industry SDO,International,Global,2021,2017,Active,Voluntary,Cyber threat intelligence platforms security operations centers information sharing communities and incident response teams,Defines a structured language for representing cyber threat intelligence objects and relationships,Structured threat intelligence model,https://docs.oasis-open.org/cti/stix/v2.1/stix-v2.1.html,OASIS official standard page,OASIS publishes STIX Version 2.1 through its Cyber Threat Intelligence Technical Committee
ICT-OASIS-TAXII21,Standard,Technology & Infrastructure,Information & Communications Technology (ICT),Cyber threat intelligence exchange,TAXII Version 2.1,TAXII 2.1,OASIS TAXII Version 2.1,OASIS Open,Industry SDO,International,Global,2021,2017,Active,Voluntary,Cyber threat intelligence exchanges sharing hubs security tools and automated indicator distribution systems,Defines application layer services and message exchanges for sharing cyber threat intelligence,TAXII threat intelligence exchange protocol,https://docs.oasis-open.org/cti/taxii/v2.1/taxii-v2.1.html,OASIS official standard page,OASIS publishes TAXII Version 2.1 through its Cyber Threat Intelligence Technical Committee
SC-GS1-DIGITAL-LINK,Standard,Economy & Trade,Supply Chain & Logistics,Web identifiers,GS1 Digital Link Standard,GS1 Digital Link,GS1 Digital Link Standard,GS1,NGO,International,Global,2024,2018,Active,Voluntary-with-regulatory-adoption,Brand owners retailers marketplaces product data platforms traceability systems and consumer information services,Defines URI syntax for connecting GS1 identifiers to web resources and product data services,GS1 identifier web linking standard,https://www.gs1.org/standards/gs1-digital-link,GS1 official standards page,GS1 publishes Digital Link as a web URI standard for GS1 identifiers
SC-GS1-EPCIS-CBV-2,Standard,Economy & Trade,Supply Chain & Logistics,Traceability events,EPCIS and CBV Standard,EPCIS and CBV 2.0,GS1 EPCIS and CBV Standard,GS1,NGO,International,Global,2022,2007,Active,Voluntary-with-regulatory-adoption,Supply chains logistics providers regulators food and pharmaceutical traceability programs and event data repositories,Defines interoperable event capture and sharing for what when where why traceability data,EPCIS and Core Business Vocabulary standard,https://www.gs1.org/standards/epcis,GS1 official standards page,GS1 publishes EPCIS and CBV for interoperable supply chain event data
SC-GS1-GENERAL-SPECS,Standard,Economy & Trade,Supply Chain & Logistics,Identification keys and barcodes,GS1 General Specifications,GS1 General Specifications,GS1 General Specifications,GS1,NGO,International,Global,2026,1974,Active,Voluntary-with-regulatory-adoption,Retail healthcare logistics manufacturing marketplaces and regulatory product identification systems,Defines the core GS1 identification keys data carriers and application rules used across global supply chains,GS1 identification and barcode application rules,https://www.gs1.org/standards/barcodes-epcrfid-id-keys/gs1-general-specifications,GS1 official standards page,GS1 publishes the General Specifications as the core application standard for GS1 identifiers and data carriers
