file_name,sha256,resource_type,action,relevance,derived_artifact,note
GLOBAL_STANDARD.md,492077a27d7caef4cd3890ace9cca7c41a0bd39c2f9802008cac17a6d7d260a5,markdown,incorporated-summary,global health standards ecosystem,docs/PASTED_RESOURCE_TRIAGE.md,"Useful narrative on WHO, ISO, IEC, HL7, SNOMED, ICH, CIOMS, Codex, regional and national implementation layers."
STANDARD_BODIES_STAKEHOLDERS_TERMS.md,ef7d777160bca491a708922c13dd78fc277b5ddb1632e1474fe6f906320a5e03,markdown,incorporated-summary,standards bodies and stakeholder glossary,docs/PASTED_RESOURCE_TRIAGE.md,"Useful glossary for health standards bodies, WHO PEN roles, data standards, and implementation pathways."
WHO_PEN_Implementation.md,dbc8e97fecceee2b0c12f3dfd8cae270510aa382fa9658b90b3585486db877b5,markdown,incorporated-summary,WHO PEN implementation flow,docs/PASTED_RESOURCE_TRIAGE.md,"Useful process model connecting guideline development, national adaptation, service delivery, data, M&E, and feedback loops."
SIGMA_Deep_Analysis_Gaps_and_Full_Roadmap (2).md,72218ef5d5d0c5361a074523c95e71005e767aaaf22124961a6892e3ff636457,markdown,incorporated-summary,SIGMA roadmap review,docs/PASTED_RESOURCE_TRIAGE.md,Useful external analysis but not treated as authoritative because it may be stale relative to current repo state.
MASTER_DIRECTORY_Global_Standards_v2_0.xlsx,6a15b69cc0dfd5949291eecd73e62df85fd58097a767097c074acf894abb779d,xlsx,converted-to-staging-csv,516-entry standards body/framework directory,data/staging/master_directory_global_standards_v2_0.csv,Converted workbook master directory sheet to CSV staging extract.
full-ig.zip,54abba339be7b270c2f6be8a216ab7998034e77af59d8150a5263a63f3b1ccd1,zip,converted-to-staging-csv,Bangladesh FHIR implementation guide resources,data/staging/bangladesh_fhir_canonical_resources.csv,Extracted canonical resource metadata only; raw 24MB IG archive removed.
links.json,75e8dbd2c7fac9c03a72c698d8465d404dbdc718689478269944b5b248b87609,json,converted-to-staging-csv,Bangladesh SHR/DGHS web link inventory,data/staging/bangladesh_shr_link_inventory.csv,Converted 211 link records to CSV staging inventory.
HRIS API For SHR.docx,f9326743efde1b034435c6166f811b319c209d17ada578e58f554df4f3f401bc,docx,rejected-sensitive-raw,Bangladesh SHR API examples,none,"Relevant but contains example auth tokens, client IDs, email addresses, and personal-data examples; raw document removed, not committed."
HRIS API For SHR(1).docx,f9326743efde1b034435c6166f811b319c209d17ada578e58f554df4f3f401bc,docx,removed-duplicate,duplicate of HRIS API For SHR.docx,none,Exact duplicate by SHA-256; removed.
SHR API Doc V2.0.docx,11961b1e3393edddcb37945f0647f761b695b19293b3752c6f7d9b17b553ef62,docx,rejected-sensitive-raw,Bangladesh SHR API endpoint examples,none,"Relevant but contains endpoint and credential examples; raw document removed, not committed."
SHR Encounter API And Terminoloy Synchronization .docx,54737f053ec92dd543f00b79ca9cd7a3250fa29d5f78f90b36961fdc1e59ed52,docx,rejected-sensitive-raw,FHIR/SHR encounter API integration examples,none,"Relevant but contains API/auth examples and large XML examples; raw document removed, not committed."
Technical Details – Shared Health Record (EN).md,3fbc01bf11952a46d2a4683164cc62d5281035c3904607ad9ec4aee3c7d946de,markdown,incorporated-summary,Bangladesh SHR technical-navigation overview,docs/PASTED_RESOURCE_TRIAGE.md,Useful public SHR component taxonomy; duplicate variants removed.
FreeSHR-Playbooks – Shared Health Record (EN).md,e389e57739ee38358fd9cc609d31eb7a04ee09a257ddc673d107dc2413618c5c,markdown,incorporated-summary,FreeSHR deployment/playbook overview,docs/PASTED_RESOURCE_TRIAGE.md,"Useful for HIE/SHR implementation context, but not direct SIGMA release data."
CATALOGS.md,42d0a2b0f58ba89e9e8fb94d5a2f71fa5ed7b43df5b4fa63d2541dab71fdf5bb,markdown,rejected-out-of-scope,ZarishSphere repository catalog,none,"Mostly separate platform catalog, not SIGMA standards-index source data."
Zarish Sphere platform development lifecycle - Claude.md,f14901b97c4f5ddf112126bf6d18e1f320a395ad58dfd226d3b562807f0d6e80,markdown,rejected-out-of-scope,ZarishSphere setup guide,none,"Separate product/platform planning material, not SIGMA source data."
build_sigma_notebook.py,f5d4a02e070411bd97a3ce642e0c81f9b901d73a9ea320496150913fc776f1a1,python,rejected-obsolete-tooling,Google Colab/Drive notebook generator,none,Overlaps older Google Drive/Sheets architecture and contains notebook-generation code not used by current GitHub-first pipeline.
files.zip,f940f703a7b62e4c73d128a89b76341131ca64d8def63fc955ca13d59b79baa6,zip,rejected-out-of-scope,Zarish Sphere SSOT package,none,Separate platform package; not SIGMA standards-index source data.
Shared Health Record technical architecture overview - Claude.html,e9b57cc61109dc6432758a392015bf26a98741946287ecab7820bf6cb6460715,html,rejected-runtime-export,Claude chat export,none,Browser/chat export with companion asset folder; not a clean source artifact.
